price,metro_station,minutes_to_metro,rooms,area,floor,total_floors,renovation,floor_ratio,is_first_floor,is_last_floor,is_studio,log_area,log_price
12900000.0,Прокшино,13.0,3.0,62.0,4.0,17,Without renovation,0.23529411764705882,0,0,0,4.143134726391533,16.372737946851277
15500000.0,Окружная,8.0,3.0,72.0,6.0,8,Cosmetic,0.75,0,0,0,4.290459441148391,16.5563506464056
24800000.0,Спортивная,4.0,3.0,62.0,1.0,6,European-style renovation,0.16666666666666666,1,0,0,4.143134726391533,17.02635425145779
27500000.0,Спортивная,5.0,3.0,62.7,2.0,5,Designer,0.4,0,0,0,4.154184562578117,17.129696599000436
31800000.0,Рабочий Посёлок,22.0,3.0,93.5,11.0,29,Without renovation,0.3793103448275862,0,0,0,4.548599834499697,17.274976879196945
64000000.0,Тестовская,4.0,3.0,98.0,33.0,78,Designer,0.4230769230769231,0,0,0,4.59511985013459,17.974393656948944
74800000.0,Славянский бульвар,23.0,3.0,104.0,14.0,26,Without renovation,0.5384615384615384,0,0,0,4.653960350157523,18.13032845631369
105000000.0,Деловой центр,2.0,3.0,192.0,37.0,75,Designer,0.49333333333333335,0,0,0,5.262690188904886,18.46947091764561
44988700.0,Минская,5.0,3.0,71.2,2.0,14,European-style renovation,0.14285714285714285,0,0,0,4.279440045898781,17.62192192731761
64500000.0,Шелепиха,19.0,3.0,84.0,12.0,19,Designer,0.631578947368421,0,0,0,4.442651256490317,17.98217579726988
128000000.0,Улица 1905 года,7.0,3.0,127.6,6.0,21,Designer,0.2857142857142857,0,0,0,4.856706811803519,18.667540829696392
153000000.0,Арбатская,6.0,3.0,94.0,2.0,7,Designer,0.2857142857142857,0,0,0,4.553876891600541,18.845948485892656
26700000.0,Селигерская,11.0,3.0,57.4,1.0,39,Designer,0.02564102564102564,1,0,0,4.067315889834181,17.10017416082366
39500000.0,Серпуховская,17.0,3.0,81.25,6.0,18,Cosmetic,0.3333333333333333,0,0,0,4.409763389645481,17.491811255187805
41500000.0,Динамо,10.0,3.0,77.2,5.0,12,Designer,0.4166666666666667,0,0,0,4.359269647551265,17.541204009297314
42990000.0,Динамо,6.0,3.0,70.0,15.0,15,Designer,1.0,0,1,0,4.2626798770413155,17.57647811173369
45000000.0,Фили,15.0,3.0,91.5,6.0,21,Designer,0.2857142857142857,0,0,0,4.52720864451838,17.622173069956816
57000000.0,Шелепиха,19.0,3.0,99.0,2.0,19,Designer,0.10526315789473684,0,0,0,4.605170185988092,17.858561843342684
64900000.0,Деловой центр,11.0,3.0,90.0,7.0,21,Without renovation,0.3333333333333333,0,0,0,4.51085950651685,17.98835819708264
78000000.0,Деловой центр,7.0,3.0,100.0,39.0,53,Designer,0.7358490566037735,0,0,0,4.61512051684126,18.17221939747438
190000000.0,Ломоносовский проспект,22.0,3.0,105.5,4.0,8,Designer,0.5,0,0,0,4.66814498514948,19.06253463538792
250000000.0,Новокузнецкая,11.0,3.0,142.8,6.0,8,Designer,0.75,0,0,0,4.9684234452869465,19.33697147982652
12000000.0,Саларьево,8.0,3.0,63.0,1.0,9,European-style renovation,0.1111111111111111,1,0,0,4.1588830833596715,16.300417291085605
14450000.0,Бибирево,14.0,3.0,60.6,2.0,9,Cosmetic,0.2222222222222222,0,0,0,4.120661870539474,16.486205041726866
14500000.0,Печатники,4.0,3.0,60.0,9.0,9,Designer,1.0,0,1,0,4.110873864173311,16.489659276356317
24287000.0,Новогиреево,4.0,3.0,84.0,11.0,22,European-style renovation,0.5,0,0,0,4.442651256490317,17.005451826908647
26500000.0,Бульвар Рокоссовского,6.0,3.0,80.0,19.0,24,European-style renovation,0.7916666666666666,0,0,0,4.394449154672439,17.0926553286923
33500000.0,Улица 1905 года,17.0,3.0,77.2,11.0,22,Designer,0.5,0,0,0,4.359269647551265,17.32705602664604
