Price,Metro station,Minutes to metro,Number of rooms,Area,Floor,Number of floors,Renovation
64000000.0,Фили,13.0,3.0,112.0,17.0,25,Designer
67000000.0,Арбатская,7.0,3.0,102.9,3.0,9,Cosmetic
70000000.0,Улица 1905 года,3.0,3.0,100.9,16.0,22,European-style renovation
69990000.0,Цветной бульвар,6.0,3.0,160.0,3.0,10,Designer
69900000.0,Третьяковская,9.0,3.0,102.0,7.0,9,European-style renovation
76000000.0,Проспект Мира,5.0,3.0,120.9,6.0,12,European-style renovation
93000000.0,Третьяковская,11.0,3.0,141.5,2.0,8,Without renovation
96000000.0,Улица 1905 года,11.0,3.0,100.0,7.0,18,Without renovation
99000000.0,Белорусская,7.0,3.0,126.6,6.0,27,Designer
115000000.0,Деловой центр,4.0,3.0,189.0,41.0,73,Designer
129990000.0,Кропоткинская,7.0,3.0,135.0,4.0,8,Designer
139000000.0,Улица 1905 года,15.0,3.0,100.0,18.0,21,Designer
160000000.0,Парк культуры,5.0,3.0,114.0,2.0,6,European-style renovation
165000000.0,Новокузнецкая,3.0,3.0,135.0,4.0,12,Designer
194800000.0,Киевская,5.0,3.0,160.0,47.0,54,European-style renovation
27770000.0,Парк Победы,3.0,3.0,67.6,5.0,12,Without renovation
30500000.0,Багратионовская,22.0,3.0,60.1,8.0,30,Designer
33000000.0,Нагатинский Затон,19.0,3.0,65.0,15.0,16,Designer
33500000.0,Крылатское,5.0,3.0,94.1,20.0,23,Designer
47000000.0,Щукинская,2.0,3.0,130.2,6.0,17,Designer
59900000.0,Раменки,11.0,3.0,109.0,12.0,18,Designer
64999999.0,Раменки,9.0,3.0,113.1,3.0,21,Designer
99000000.0,Парк культуры,2.0,3.0,106.4,5.0,6,Designer
115000000.0,Новокузнецкая,3.0,3.0,146.0,4.0,9,European-style renovation
139000000.0,Беговая,25.0,3.0,100.0,18.0,21,Designer
155000000.0,Спортивная,10.0,3.0,125.3,6.0,14,Without renovation
33400000.0,Технопарк,14.0,3.0,85.0,8.0,8,Cosmetic
35000000.0,Аминьевская,2.0,3.0,61.0,17.0,39,Designer
50000000.0,Шелепиха,2.0,3.0,108.0,12.0,53,Designer
84000000.0,Смоленская,9.0,3.0,212.4,5.0,17,Without renovation
153000000.0,Арбатская,6.0,3.0,94.1,2.0,8,Designer
86200000.0,ЦСКА,7.0,4.0,244.1,21.0,23,Cosmetic
73500000.0,Раменки,13.0,4.0,115.0,3.0,17,Designer
146000000.0,Кропоткинская,5.0,4.0,155.0,6.0,7,Designer
146000000.0,Кропоткинская,3.0,4.0,153.0,6.0,7,Designer
37990000.0,Народное Ополчение,10.0,4.0,94.5,20.0,58,Without renovation
145000000.0,Белорусская,6.0,4.0,200.0,4.0,6,Designer
159000000.0,Улица 1905 года,15.0,4.0,143.0,13.0,20,Designer
350000000.0,Парк культуры,6.0,4.0,233.2,6.0,8,European-style renovation
169000000.0,Библиотека и Ленина,4.0,4.0,137.0,4.0,5,Designer
180000000.0,Фрунзенская,10.0,4.0,187.0,7.0,11,Without renovation
125000000.0,Китай-город,11.0,4.0,108.6,2.0,9,Designer
169000000.0,Библиотека и Ленина,4.0,4.0,137.6,4.0,5,Designer
350000000.0,Парк культуры,6.0,4.0,249.0,2.0,6,Designer
59990000.0,Народное Ополчение,10.0,4.0,108.6,38.0,58,Designer
71000000.0,Марьина Роща,6.0,4.0,135.6,11.0,21,Without renovation
61988000.0,Минская,14.0,4.0,115.6,3.0,14,Without renovation
43000000.0,Народное Ополчение,10.0,4.0,108.2,11.0,58,Without renovation
52500000.0,Народное Ополчение,10.0,4.0,127.5,20.0,58,Without renovation
69000000.0,Минская,20.0,4.0,92.8,8.0,14,Designer
95000000.0,Раменки,1.0,4.0,201.0,14.0,23,Designer
125000000.0,Китай-город,13.0,4.0,109.0,2.0,9,Designer
170000000.0,Баррикадная,15.0,4.0,170.0,2.0,5,European-style renovation
42000000.0,Фили,6.0,4.0,113.0,4.0,44,Without renovation
270000000.0,Белорусская,7.0,4.0,316.0,6.0,6,Designer
59900000.0,Улица 1905 года,13.0,4.0,89.0,8.0,44,Designer
68000000.0,Смоленская,4.0,4.0,95.0,5.0,6,Designer
350000000.0,Боровицкая,11.0,4.0,216.0,4.0,6,Without renovation
190000000.0,Улица 1905 года,10.0,4.0,167.8,20.0,21,Designer
40000000.0,Кунцевская,19.0,4.0,97.9,6.0,12,Designer
67000000.0,Охотный ряд,4.0,4.0,84.8,2.0,8,Without renovation
80000000.0,Динамо,17.0,4.0,135.7,2.0,41,Designer
83000000.0,Динамо,15.0,4.0,138.3,24.0,41,Designer
110000000.0,Динамо,15.0,4.0,112.8,10.0,41,Designer
120000000.0,Белорусская,16.0,4.0,225.0,5.0,20,Without renovation
125000000.0,Динамо,15.0,4.0,135.3,37.0,41,Designer
155000000.0,Добрынинская,4.0,4.0,170.0,5.0,6,Designer
221000000.0,Фрунзенская,8.0,4.0,240.0,14.0,14,Designer
249990000.0,Маяковская,2.0,4.0,270.0,9.0,11,Designer
43000000.0,Народное Ополчение,10.0,4.0,108.0,11.0,54,Without renovation
130000000.0,Минская,16.0,4.0,203.4,10.0,17,Designer
155000000.0,Спортивная,6.0,4.0,179.2,2.0,6,Without renovation
156000000.0,Спортивная,8.0,4.0,140.0,5.0,15,Without renovation
180000000.0,Спортивная,7.0,4.0,186.8,7.0,11,Without renovation
92000000.0,Арбатская,9.0,4.0,169.0,6.0,6,Without renovation
120000000.0,Аэропорт,12.0,4.0,136.5,23.0,41,Designer
155000000.0,Спортивная,6.0,4.0,179.2,2.0,12,Without renovation
180000000.0,Спортивная,7.0,4.0,187.0,7.0,11,Without renovation
340000000.0,Смоленская,13.0,4.0,180.0,5.0,7,Designer
120000000.0,Петровский парк,15.0,4.0,135.6,23.0,37,Designer
130000000.0,Пушкинская,6.0,4.0,121.0,4.0,7,Designer
99000000.0,Ломоносовский проспект,1.0,4.0,129.4,17.0,18,Designer
40500000.0,Народное Ополчение,10.0,4.0,106.1,48.0,58,Without renovation
79000000.0,Ломоносовский проспект,17.0,4.0,145.0,36.0,48,Designer
50000000.0,Новослободская,6.0,4.0,297.0,3.0,3,Without renovation
79000000.0,Ломоносовский проспект,10.0,4.0,145.8,36.0,47,European-style renovation
80000000.0,Минская,19.0,4.0,186.4,11.0,44,Without renovation
132000000.0,Беговая,5.0,4.0,133.5,10.0,21,European-style renovation
185000000.0,Спортивная,10.0,4.0,171.0,4.0,6,Without renovation
61000000.0,Раменки,10.0,4.0,134.5,15.0,52,Without renovation
149600000.0,Смоленская,8.0,4.0,174.0,12.0,13,Without renovation
43000000.0,Народное Ополчение,9.0,4.0,118.6,9.0,48,Without renovation
155000000.0,Спортивная,10.0,4.0,133.1,6.0,14,Without renovation
281600000.0,Кропоткинская,3.0,4.0,128.0,2.0,5,Without renovation
57990000.0,Динамо,7.0,4.0,95.6,18.0,19,Designer
72000000.0,Петровский парк,15.0,4.0,91.0,10.0,41,Designer
85000000.0,Чистые пруды,11.0,4.0,161.0,2.0,6,Designer
87000000.0,Фрунзенская,5.0,4.0,145.2,7.0,14,Designer
114890000.0,Ломоносовский проспект,13.0,4.0,212.0,6.0,17,Designer
169275000.0,Кропоткинская,6.0,4.0,225.7,3.0,9,Designer
204000000.0,Фрунзенская,5.0,4.0,170.0,6.0,8,Without renovation
250000000.0,Пушкинская,6.0,4.0,185.0,5.0,8,Designer
53000000.0,Красные ворота,2.0,4.0,120.8,4.0,6,Designer
180000000.0,Спортивная,8.0,4.0,186.6,7.0,11,Without renovation
179000000.0,Таганская,9.0,4.0,140.0,4.0,8,Without renovation
52000000.0,Раменки,10.0,4.0,107.0,14.0,52,European-style renovation
83000000.0,Минская,5.0,4.0,147.0,15.0,24,European-style renovation
93000000.0,Шаболовская,8.0,4.0,128.9,10.0,16,Designer
145000000.0,Балтийская,13.0,4.0,332.0,6.0,6,Designer
155000000.0,Спортивная,6.0,4.0,179.2,2.0,5,Without renovation
180000000.0,Парк культуры,3.0,4.0,187.0,7.0,11,Without renovation
56000000.0,Мнёвники,28.0,4.0,111.2,16.0,56,Designer
59900000.0,Кутузовская,12.0,4.0,145.0,4.0,32,Without renovation
65000000.0,Шаболовская,11.0,4.0,105.0,6.0,8,Designer
70000000.0,Тульская,25.0,4.0,184.5,8.0,8,Without renovation
78500000.0,Петровский парк,16.0,4.0,132.9,7.0,41,Without renovation
81700000.0,Крылатское,8.0,4.0,132.0,2.0,4,European-style renovation
104500000.0,Китай-город,12.0,4.0,118.0,3.0,7,Without renovation
120000000.0,Третьяковская,6.0,4.0,121.0,3.0,7,Designer
144500000.0,Парк культуры,6.0,4.0,167.0,2.0,6,Designer
163990000.0,Фрунзенская,10.0,4.0,170.0,7.0,12,Without renovation
61488700.0,Минская,5.0,4.0,116.0,4.0,14,Without renovation
70000000.0,Тульская,5.0,4.0,185.0,8.0,8,Without renovation
74700000.0,Динамо,5.0,4.0,165.0,8.0,15,Without renovation
70000000.0,Тульская,25.0,4.0,184.5,8.0,8,Without renovation
62970000.0,Динамо,6.0,4.0,85.8,11.0,11,Designer
82400000.0,Шелепиха,16.0,4.0,110.0,1.0,19,Designer
176400000.0,Баррикадная,16.0,4.0,195.2,5.0,5,European-style renovation
43000000.0,Хорошево,7.0,4.0,122.0,15.0,24,European-style renovation
72100000.0,Шелепиха,16.0,4.0,105.0,27.0,46,Without renovation
80000000.0,Тверская,10.0,4.0,116.0,5.0,5,European-style renovation
82000000.0,Парк культуры,7.0,4.0,117.0,2.0,4,Designer
85000000.0,Тургеневская,9.0,4.0,160.0,2.0,6,European-style renovation
87000000.0,Фрунзенская,5.0,4.0,145.2,7.0,14,Cosmetic
137000000.0,Аэропорт,12.0,4.0,138.2,26.0,41,Designer
150000000.0,Беговая,5.0,4.0,155.8,12.0,21,European-style renovation
240000000.0,Кропоткинская,11.0,4.0,233.0,5.0,8,Designer
239000000.0,Маяковская,3.0,4.0,238.0,7.0,7,Designer
240000000.0,Киевская,12.0,4.0,172.0,5.0,9,Without renovation
300000000.0,Улица 1905 года,7.0,4.0,237.0,15.0,15,Designer
46500000.0,Хорошево,18.0,4.0,153.0,18.0,22,Designer
56000000.0,Беломорская,22.0,4.0,144.0,9.0,11,Designer
60000000.0,Новаторская,20.0,4.0,160.0,31.0,48,European-style renovation
61990000.0,Славянский бульвар,11.0,4.0,92.0,9.0,26,Without renovation
85000000.0,Щукинская,18.0,4.0,189.2,9.0,32,Designer
84800000.0,Улица 1905 года,9.0,4.0,170.0,6.0,14,Designer
85900000.0,Серпуховская,9.0,4.0,131.1,2.0,17,Designer
95000000.0,Деловой центр,7.0,4.0,155.0,44.0,53,Without renovation
153000000.0,Киевская,3.0,4.0,140.0,5.0,9,Without renovation
160000000.0,Белорусская,8.0,4.0,149.0,6.0,27,Designer
163000000.0,Улица 1905 года,7.0,4.0,158.0,12.0,21,Designer
165000000.0,Смоленская,8.0,4.0,184.0,5.0,7,Without renovation
243250000.0,Улица 1905 года,7.0,4.0,136.0,19.0,21,Designer
43400000.0,Шелепиха,3.0,4.0,146.5,26.0,28,Without renovation
52500000.0,Фили,15.0,4.0,100.0,23.0,25,Designer
85000000.0,Ломоносовский проспект,16.0,4.0,186.0,35.0,42,Without renovation
109900000.0,ЗИЛ,15.0,4.0,130.0,15.0,15,Designer
202625000.0,Спортивная,8.0,4.0,162.1,8.0,9,Designer
