area,rooms,floor,total_floors,minutes_to_metro,floor_ratio,is_first_floor,is_last_floor,is_studio,log_area,metro_station,renovation
25.4,0.0,8.0,22,26.0,0.3636363636363636,0,0,1,3.2733640101522705,Саларьево,Without renovation
50.0,3.0,8.0,9,12.0,0.8888888888888888,0,0,0,3.9318256327243257,Бабушкинская,European-style renovation
58.4,3.0,6.0,9,3.0,0.6666666666666666,0,0,0,4.084294226368599,Медведково,Cosmetic
39.0,1.0,8.0,8,29.0,1.0,0,1,0,3.688879454113936,Люблино,Cosmetic
26.1,0.0,7.0,8,8.0,0.875,0,0,1,3.299533727885655,Калитники,Designer
96.0,4.0,5.0,5,9.0,1.0,0,1,0,4.574710978503383,Тверская,Designer
75.0,3.0,16.0,17,7.0,0.9411764705882352,0,0,0,4.330733340286331,Раменки,Cosmetic
67.1,3.0,12.0,12,17.0,1.0,0,1,0,4.220977213155467,Бабушкинская,European-style renovation
147.0,5.0,3.0,13,16.0,0.2307692307692307,0,0,0,4.997212273764115,Бескудниково,European-style renovation
24.0,0.0,5.0,21,20.0,0.238095238095238,0,0,1,3.218875824868201,Рижская,European-style renovation
62.5,4.0,1.0,9,28.0,0.1111111111111111,1,0,0,4.151039905898646,Бабушкинская,Cosmetic
22.8,0.0,4.0,9,25.0,0.4444444444444444,0,0,1,3.169685580677429,Внуково,Cosmetic
35.1,1.0,1.0,3,25.0,0.3333333333333333,1,0,0,3.586292865338835,Бунинская Аллея,Cosmetic
90.0,4.0,10.0,15,21.0,0.6666666666666666,0,0,0,4.51085950651685,Мякинино,European-style renovation
118.0,4.0,5.0,5,5.0,1.0,0,1,0,4.77912349311153,Серпуховская,Designer
54.3,2.0,7.0,15,12.0,0.4666666666666667,0,0,0,4.012772908528289,Коммунарка,Without renovation
120.3,3.0,2.0,7,6.0,0.2857142857142857,0,0,0,4.798266815950004,Театральная,European-style renovation
35.6,1.0,3.0,7,8.0,0.4285714285714285,0,0,0,3.6000482404073204,Бунинская Аллея,Cosmetic
47.6,2.0,12.0,12,13.0,1.0,0,1,0,3.883623530906448,Яхромская,Cosmetic
24.0,0.0,2.0,18,18.0,0.1111111111111111,0,0,1,3.218875824868201,Некрасовка,Cosmetic
42.7,2.0,7.0,42,18.0,0.1666666666666666,0,0,0,3.777348102101545,Крымская,European-style renovation
34.7,1.0,2.0,14,26.0,0.1428571428571428,0,0,0,3.5751506887855933,Коммунарка,Without renovation
125.8,5.0,3.0,16,8.0,0.1875,0,0,0,4.842611042003125,Бульвар Адмирала Ушакова,European-style renovation
119.8,3.0,16.0,57,9.0,0.2807017543859649,0,0,0,4.794136285500715,Аэропорт,Designer
32.0,1.0,6.0,19,21.0,0.3157894736842105,0,0,0,3.49650756146648,Некрасовка,Cosmetic
192.0,4.0,7.0,8,3.0,0.875,0,0,0,5.262690188904886,Полянка,European-style renovation
105.0,4.0,20.0,21,8.0,0.9523809523809524,0,0,0,4.663439094112067,Динамо,Without renovation
185.0,5.0,7.0,7,8.0,1.0,0,1,0,5.225746673713202,Смоленская,Without renovation
109.8,3.0,7.0,8,9.0,0.875,0,0,0,4.707726774313183,Студенческая,Designer
14.0,0.0,1.0,5,17.0,0.2,1,0,1,2.70805020110221,Преображенская площадь,European-style renovation
279.0,5.0,3.0,10,9.0,0.3,0,0,0,5.634789603169249,Курская,Without renovation
114.4,2.0,4.0,6,5.0,0.6666666666666666,0,0,0,4.748404354073999,Арбатская,Designer
